,state,tot_cases,new_case,tot_death
451,ME,3252,31.0,105
452,ID,10505,577.0,102
453,AL,420681,3153.0,6119
454,NC,58867,1649.0,1303
455,NJ,47437,3021.0,1504
456,KY,0,0.0,0
457,WI,19400,483.0,616
458,GA,969702,2895.0,16174
459,MN,384164,2323.0,4542
460,PR,73227,784.0,1445
461,MT,573,12.0,18
462,KS,284894,0.0,4303
463,NE,41785,397.0,461
464,AZ,245946,1901.0,5979
465,WI,31033,326.0,784
466,VI,80,4.0,6
467,NYC,49707,1245.0,1562
468,ME,11288,23.0,191
469,NH,15029,358.0,500
470,VA,55775,444.0,1583
471,RI,21022,0.0,1030
472,AL,144962,798.0,2437
473,MO,124762,1486.0,2086
474,IA,22237,249.0,624
475,FL,0,0.0,0
476,VI,1324,2.0,20
477,CO,58019,244.0,1952
478,OH,106557,1131.0,3784
479,IN,614946,1718.0,9807
480,AS,0,0.0,0
481,HI,644,0.0,17
482,IL,132059,732.0,6441
483,WY,0,0.0,0
484,HI,469,11.0,6
485,CT,0,0.0,0
486,MO,420583,3825.0,5944
487,RI,122072,285.0,2344
488,RI,44,11.0,0
489,MO,209197,4131.0,3153
490,ID,26631,498.0,251
491,AK,1479,94.0,17
492,WV,2979,74.0,93
493,MO,0,0.0,0
494,FL,1012456,10656.0,18874
495,NE,32727,379.0,386
496,ME,10123,165.0,174
497,GU,177,2.0,5
498,OH,21576,607.0,1225
499,NH,819,31.0,21
500,ID,42048,614.0,469
501,MN,479591,555.0,6501
502,MT,0,0.0,0
503,MS,36680,393.0,1250
504,TN,1537,164.0,7
505,KY,0,0.0,0
506,OK,346621,3852.0,2858
507,AK,3613,77.0,26
508,CO,2966,339.0,69
509,OH,131992,1434.0,4298
510,MP,8,0.0,1
511,ME,70,14.0,0
512,MT,0,0.0,0
513,NV,108746,1824.0,1850
514,MP,88,0.0,2
515,NJ,201124,388.0,16034
516,LA,397276,0.0,8801
517,CA,930628,4094.0,17672
518,KS,11419,372.0,245
519,VT,990,2.0,55
520,MP,75,0.0,2
521,MS,140429,1638.0,3642
522,PR,3718,71.0,133
523,PR,6922,45.0,151
524,MO,5517,234.0,175
525,ID,164969,404.0,1758
526,KY,396018,1331.0,4426
527,IN,48008,576.0,2693
528,DE,25753,0.0,716
529,WV,97898,1896.0,1554
530,LA,41562,429.0,2883
531,AK,33291,760.0,129
532,MN,450762,1270.0,6079
533,VA,151870,1067.0,3273
534,WV,0,0.0,0
535,VT,1200,2.0,56
536,KY,19653,264.0,629
537,MN,70298,714.0,1817
538,NYC,236363,0.0,23721
539,AZ,453597,5366.0,7971
540,CT,45557,117.0,4238
541,AZ,494337,1296.0,8427
542,MO,423327,2744.0,5948
543,MA,130253,438.0,9116
