,submission_date,state,tot_cases,tot_death
589,2020-07-19T00:00:00.000,MP,37,2
931,2020-12-01T00:00:00.000,MP,106,2
77,2020-11-03T00:00:00.000,MP,96,2
520,2020-10-06T00:00:00.000,MP,75,2
901,2020-12-13T00:00:00.000,MP,113,2
304,2020-05-24T00:00:00.000,MP,22,2
546,2020-11-24T00:00:00.000,MP,104,2
30,2020-05-04T00:00:00.000,MP,14,2
132,2020-07-20T00:00:00.000,MP,38,2
514,2020-10-21T00:00:00.000,MP,88,2
8,2020-09-21T00:00:00.000,MP,69,2
635,2020-12-09T00:00:00.000,MP,113,2
728,2020-07-21T00:00:00.000,MP,38,2
852,2020-07-10T00:00:00.000,MP,31,2
43,2020-02-29T00:00:00.000,MP,0,0
510,2020-04-04T00:00:00.000,MP,8,1
435,2020-11-21T00:00:00.000,MS,143180,3676
601,2020-12-23T00:00:00.000,MS,202651,4556
671,2020-05-18T00:00:00.000,MS,11704,555
955,2020-10-25T00:00:00.000,MS,115763,3263
503,2020-07-12T00:00:00.000,MS,36680,1250
34,2020-08-06T00:00:00.000,MS,64400,1825
821,2020-11-28T00:00:00.000,MS,151785,3806
646,2020-05-24T00:00:00.000,MS,13458,635
648,2020-07-07T00:00:00.000,MS,32214,1158
422,2020-12-16T00:00:00.000,MS,187904,4320
817,2020-12-30T00:00:00.000,MS,215811,4787
21,2020-08-14T00:00:00.000,MS,70930,2043
299,2021-01-03T00:00:00.000,MS,223677,4884
175,2020-12-17T00:00:00.000,MS,190411,4354
521,2020-11-19T00:00:00.000,MS,140429,3642
461,2020-06-11T00:00:00.000,MT,573,18
630,2020-04-25T00:00:00.000,MT,445,14
447,2020-04-07T00:00:00.000,MT,332,6
747,2020-04-18T00:00:00.000,MT,426,10
759,2020-09-10T00:00:00.000,MT,8663,123
502,2020-01-27T00:00:00.000,MT,0,0
608,2020-07-10T00:00:00.000,MT,1593,28
626,2020-01-24T00:00:00.000,MT,0,0
347,2021-02-18T00:00:00.000,MT,98100,1337
182,2020-06-15T00:00:00.000,MT,612,19
661,2020-04-05T00:00:00.000,MT,300,6
119,2020-08-15T00:00:00.000,MT,5659,82
512,2020-01-25T00:00:00.000,MT,0,0
603,2020-04-06T00:00:00.000,NC,2870,33
454,2020-06-26T00:00:00.000,NC,58867,1303
773,2020-11-14T00:00:00.000,NC,309118,4756
676,2020-11-11T00:00:00.000,ND,59173,697
228,2020-05-26T00:00:00.000,ND,2422,54
846,2020-10-17T00:00:00.000,ND,31978,404
76,2020-12-24T00:00:00.000,ND,91222,1264
377,2020-05-19T00:00:00.000,ND,1994,45
975,2020-04-14T00:00:00.000,ND,341,9
745,2020-05-13T00:00:00.000,ND,1647,40
164,2020-09-21T00:00:00.000,ND,18508,196
98,2020-02-09T00:00:00.000,ND,0,0
218,2021-02-06T00:00:00.000,ND,98155,1428
60,2020-08-21T00:00:00.000,ND,9736,135
63,2020-02-27T00:00:00.000,ND,0,0
633,2020-12-01T00:00:00.000,ND,80135,966
419,2020-04-06T00:00:00.000,NE,412,8
565,2020-02-16T00:00:00.000,NE,0,0
